f,a1,a2,t1,t2
0.4,0.0216,0.0298,1.4565,1.6829
0.41,0.0224,0.0308,1.4568,1.6548
0.42,0.0233,0.0319,1.457,1.6837
0.43,0.0242,0.0329,1.4573,1.776
0.44,0.0251,0.0345,1.4576,1.656
0.45,0.0264,0.0356,1.4579,1.6563
0.46,0.0276,0.0373,1.4582,1.6852
0.47,0.0289,0.0388,1.4585,1.657
0.48,0.0304,0.0407,1.4588,1.6573
0.49,0.0321,0.0428,1.4591,1.9959
0.5,0.0338,0.0449,1.4594,1.6303
0.51,0.0353,0.0474,1.4597,1.747
0.52,0.038,0.05,1.4599,1.6308
0.53,0.0405,0.053,1.4602,1.6311
0.54,0.0433,0.0566,1.4605,1.6046
0.55,0.0461,0.0604,1.4608,1.6049
0.56,0.0502,0.0651,1.4611,1.5792
0.57,0.0547,0.0706,1.4614,1.5795
0.58,0.0598,0.0771,1.4616,1.5304
0.59,0.0663,0.0849,1.4619,1.5549
0.6,0.0738,0.0942,1.4621,1.5073
0.61,0.0836,0.1062,1.4624,1.6331
0.62,0.0966,0.1224,1.4626,1.5077
0.63,0.1141,0.1438,1.4629,1.4851
0.64,0.1389,0.1744,1.4631,1.4853
0.65,0.1771,0.2221,1.4633,1.5319
0.66,0.2462,0.3061,1.4636,1.4857
0.67,0.3994,0.4942,1.4638,1.486
0.68,1.0524,1.295,1.464,1.464
0.69,1.5625,1.9148,1.4533,1.4534
0.7,0.4674,0.5701,1.4322,1.4537
0.71,0.2719,0.3305,1.4117,1.4326
0.72,0.1923,0.2319,1.3918,1.3919
0.73,0.1487,0.1795,1.3725,1.4332
0.74,0.1214,0.1458,1.3536,1.3925
0.75,0.1028,0.1228,1.3353,1.3928
0.76,0.0887,0.1056,1.3175,1.3358
0.77,0.0787,0.0932,1.3001,1.3547
0.78,0.0703,0.0832,1.2832,1.3936
0.79,0.0637,0.0749,1.2668,1.3552
0.8,0.0582,0.0681,1.2507,1.3369
0.81,0.0539,0.0626,1.2351,1.3191
0.82,0.05,0.0577,1.2198,1.2679
0.83,0.0466,0.0537,1.205,1.3019
0.84,0.0437,0.0502,1.1904,1.3022
0.85,0.0411,0.0468,1.1763,1.3024
1.8,0.0156,0.0191,0.5556,0.4946
1.81,0.016,0.02,0.5525,0.4946
1.82,0.0165,0.0207,0.5495,0.4946
1.83,0.017,0.0216,0.5464,0.4946
1.84,0.0175,0.0226,0.5434,0.4946
1.85,0.0181,0.0236,0.5405,0.4946
1.86,0.0188,0.0248,0.5376,0.4946
1.87,0.0198,0.0264,0.5347,0.4946
1.88,0.0208,0.0281,0.5318,0.4946
1.89,0.0219,0.03,0.529,0.4946
1.9,0.0232,0.032,0.5262,0.4946
1.91,0.0248,0.0348,0.5234,0.4946
1.92,0.0266,0.0379,0.5207,0.4946
1.93,0.0288,0.0416,0.518,0.4946
1.94,0.0318,0.0464,0.5153,0.4946
1.95,0.0351,0.0519,0.5126,0.4946
1.96,0.0402,0.0603,0.51,0.4946
1.97,0.0471,0.0715,0.5074,0.4946
1.98,0.057,0.0878,0.5048,0.4946
1.99,0.0733,0.114,0.5023,0.4946
2.0,0.1043,0.1645,0.4998,0.4946
2.01,0.1869,0.2973,0.4973,0.4946
2.02,0.6416,1.0458,0.4948,0.4946
2.03,0.2775,0.4544,0.4936,0.4934
2.04,0.1245,0.2028,0.4936,0.491
2.05,0.0807,0.1332,0.4936,0.4886
2.06,0.0592,0.0998,0.4936,0.4862
2.07,0.0479,0.08,0.4936,0.4838
2.08,0.04,0.0672,0.4937,0.4815
2.09,0.0345,0.0581,0.4937,0.4792
2.1,0.0304,0.0513,0.4937,0.4769
2.11,0.0271,0.0461,0.4937,0.4746
2.12,0.0245,0.0418,0.4937,0.4724
2.13,0.0224,0.0384,0.4937,0.4701
2.14,0.0209,0.0357,0.4937,0.4679
2.15,0.0194,0.0331,0.4938,0.4658
2.16,0.018,0.031,0.4938,0.4636
2.17,0.017,0.0294,0.4938,0.4614
2.18,0.016,0.0279,0.4938,0.4593
2.19,0.0153,0.0264,0.4938,0.4572
2.2,0.0145,0.0252,0.4938,0.4551
2.21,0.0138,0.0241,0.4938,0.4531
2.22,0.0133,0.0231,0.4938,0.451
2.23,0.0127,0.0223,0.4939,0.449
2.24,0.0121,0.0212,0.4939,0.447
