f,a1,a2,t1,t2
0.4,0.0092,0.016,0.4941,0.3979
0.41,0.0086,0.0148,0.4946,0.3883
0.42,0.0079,0.0136,0.4945,0.3792
0.43,0.0072,0.0127,0.4943,0.3705
0.44,0.007,0.0121,0.4943,0.3617
0.45,0.0067,0.0115,0.4947,0.3537
0.46,0.0064,0.0109,0.4945,0.3462
0.47,0.0061,0.0104,0.4944,0.3386
0.48,0.0058,0.0099,0.4944,0.3315
0.49,0.0056,0.0096,0.4947,0.3249
0.5,0.0054,0.0091,0.4945,0.3185
0.51,0.0053,0.0088,0.4944,0.312
0.52,0.0051,0.0085,0.4944,0.306
0.53,0.0049,0.0082,0.4945,0.3003
0.54,0.0048,0.008,0.494,0.2947
0.55,0.0047,0.0077,0.4939,0.2893
0.56,0.0045,0.0076,0.4941,0.2842
0.57,0.0044,0.0073,0.4942,0.2793
0.58,0.0043,0.0071,0.4941,0.2743
0.59,0.0042,0.0069,0.4966,0.2697
0.6,0.0041,0.0068,0.4943,0.266
0.61,0.004,0.0066,0.4943,0.261
0.62,0.0039,0.0064,0.4942,0.2566
0.63,0.0039,0.0063,0.4967,0.2526
0.64,0.0038,0.0061,0.4944,0.2487
0.65,0.0037,0.0058,0.4944,0.2448
0.66,0.0036,0.0058,0.4943,0.2411
0.67,0.0036,0.0057,0.4943,0.2375
0.68,0.0035,0.0055,0.4969,0.2357
0.69,0.0034,0.0055,0.4944,0.2306
0.7,0.0034,0.0054,0.4943,0.2273
0.71,0.0033,0.0053,0.4943,0.2241
0.72,0.0033,0.0052,0.4944,0.221
0.73,0.0032,0.0051,0.4944,0.2179
0.74,0.0032,0.005,0.4942,0.215
0.75,0.0031,0.0047,0.494,0.214
0.76,0.0031,0.0048,0.4942,0.2107
0.77,0.003,0.0047,0.4941,0.2066
0.78,0.003,0.0046,0.4941,0.204
0.79,0.0029,0.0046,0.4941,0.2014
0.8,0.0029,0.0045,0.4942,0.1989
0.81,0.0029,0.0044,0.4942,0.1968
0.82,0.0028,0.0043,0.4942,0.1941
0.83,0.0028,0.0043,0.4942,0.1917
0.84,0.0027,0.0042,0.4943,0.1894
0.85,0.0027,0.0041,0.4943,0.1876
1.8,0.0012,0.0018,0.4942,0.089
1.81,0.0012,0.0017,0.4942,0.0879
1.82,0.0012,0.0017,0.4941,0.0875
1.83,0.0012,0.0017,0.4991,0.0876
1.84,0.0012,0.0017,0.5342,0.0865
1.85,0.0012,0.0017,0.4966,0.086
1.86,0.0012,0.0017,0.4991,0.0856
1.87,0.0012,0.0017,0.4941,0.0854
1.88,0.0012,0.0017,0.4941,0.0852
1.89,0.0012,0.0016,0.5017,0.0842
1.9,0.0012,0.0016,0.4966,0.0838
1.91,0.0011,0.0016,0.4942,0.0835
1.92,0.0011,0.0016,0.4941,0.0829
1.93,0.0011,0.0016,0.4967,0.0825
1.94,0.0011,0.0016,0.4992,0.082
1.95,0.0011,0.0016,0.4967,0.0816
1.96,0.0011,0.0016,0.4967,0.0813
1.97,0.0011,0.0016,0.4942,0.0809
1.98,0.0011,0.0016,0.5017,0.0806
1.99,0.0011,0.0016,0.4942,0.0803
2.0,0.0011,0.0015,0.4992,0.0797
2.01,0.0011,0.0016,0.4942,0.0795
2.02,0.0011,0.0015,0.4967,0.0791
2.03,0.0011,0.0015,0.4941,0.0785
2.04,0.0011,0.0015,0.4941,0.0796
2.05,0.0011,0.0015,0.5016,0.078
2.06,0.0011,0.0015,0.4941,0.0774
2.07,0.0011,0.0015,0.4941,0.0769
2.08,0.0011,0.0015,0.4941,0.0771
2.09,0.0011,0.0015,0.4941,0.0767
2.1,0.001,0.0015,0.4991,0.0759
2.11,0.001,0.0014,0.4942,0.0755
2.12,0.001,0.0015,0.5552,0.0751
2.13,0.001,0.0014,0.4942,0.0753
2.14,0.001,0.0014,0.568,0.0744
2.15,0.001,0.0014,0.4942,0.074
2.16,0.001,0.0014,0.5068,0.0737
2.17,0.001,0.0014,0.5401,0.0734
2.18,0.001,0.0014,0.4967,0.0731
2.19,0.001,0.0014,0.4992,0.0727
2.2,0.001,0.0014,0.5401,0.0725
2.21,0.0011,0.0015,0.5523,0.0732
2.22,0.001,0.0014,0.4942,0.0719
2.23,0.001,0.0014,0.5371,0.0719
2.24,0.001,0.0014,0.4942,0.0713
